X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-5.0651,50.0407,,,,,WPT161,WPT161,WPT161,,,,,,,,,,,,
-5.0643,50.0425,,,,,WPT162,WPT162,WPT162,,,,,,,,,,,,
-5.0634,50.0443,,,,,WPT163,WPT163,WPT163,,,,,,,,,,,,
-5.064,50.0462,,,,,WPT164,WPT164,WPT164,,,,,,,,,,,,
-5.0634,50.048,,,,,WPT165,WPT165,WPT165,,,,,,,,,,,,
-5.0604,50.0487,,,,,WPT166,WPT166,WPT166,,,,,,,,,,,,
-5.0574,50.0491,,,,,WPT167,WPT167,WPT167,,,,,,,,,,,,
-5.0551,50.0503,,,,,WPT168,WPT168,WPT168,,,,,,,,,,,,
-5.054,50.0518,,,,,WPT169,WPT169,WPT169,,,,,,,,,,,,
-5.0531,50.0532,,,,,WPT170,WPT170,WPT170,,,,,,,,,,,,
-5.0532,50.0549,,,,,WPT171,WPT171,WPT171,,,,,,,,,,,,
-5.0526,50.0566,,,,,WPT172,WPT172,WPT172,,,,,,,,,,,,
-5.0526,50.0583,,,,,WPT173,WPT173,WPT173,,,,,,,,,,,,
-5.0527,50.0601,,,,,WPT174,WPT174,WPT174,,,,,,,,,,,,
-5.0542,50.0615,,,,,WPT175,WPT175,WPT175,,,,,,,,,,,,
-5.0555,50.063,,,,,WPT176,WPT176,WPT176,,,,,,,,,,,,
-5.0568,50.0646,,,,,WPT177,WPT177,WPT177,,,,,,,,,,,,
-5.058,50.0661,,,,,WPT178,WPT178,WPT178,,,,,,,,,,,,
-5.0589,50.0679,,,,,WPT179,WPT179,WPT179,,,,,,,,,,,,
-5.0597,50.0695,,,,,WPT180,WPT180,WPT180,,,,,,,,,,,,
-5.0605,50.0711,,,,,WPT181,WPT181,WPT181,,,,,,,,,,,,
-5.061,50.0727,,,,,WPT182,WPT182,WPT182,,,,,,,,,,,,
-5.0596,50.074,,,,,WPT183,WPT183,WPT183,,,,,,,,,,,,
-5.0583,50.0753,,,,,WPT184,WPT184,WPT184,,,,,,,,,,,,
-5.0558,50.0757,,,,,WPT185,WPT185,WPT185,,,,,,,,,,,,
-5.0539,50.0768,,,,,WPT186,WPT186,WPT186,,,,,,,,,,,,
-5.0515,50.0772,,,,,WPT187,WPT187,WPT187,,,,,,,,,,,,
-5.0494,50.0779,,,,,WPT188,WPT188,WPT188,,,,,,,,,,,,
-5.0475,50.0788,,,,,WPT189,WPT189,WPT189,,,,,,,,,,,,
-5.0459,50.0798,,,,,WPT190,WPT190,WPT190,,,,,,,,,,,,
-5.0467,50.0815,,,,,WPT191,WPT191,WPT191,,,,,,,,,,,,
-5.0479,50.0831,,,,,WPT192,WPT192,WPT192,,,,,,,,,,,,
-5.049,50.0847,,,,,WPT193,WPT193,WPT193,,,,,,,,,,,,
-5.0501,50.0863,,,,,WPT194,WPT194,WPT194,,,,,,,,,,,,
-5.0513,50.0879,,,,,WPT195,WPT195,WPT195,,,,,,,,,,,,
-5.0525,50.0896,,,,,WPT196,WPT196,WPT196,,,,,,,,,,,,
-5.053,50.0912,,,,,WPT197,WPT197,WPT197,,,,,,,,,,,,
-5.0504,50.0922,,,,,WPT198,WPT198,WPT198,,,,,,,,,,,,
-5.0484,50.0935,,,,,WPT199,WPT199,WPT199,,,,,,,,,,,,
-5.0487,50.0952,,,,,WPT200,WPT200,WPT200,,,,,,,,,,,,
-5.05,50.0968,,,,,WPT201,WPT201,WPT201,,,,,,,,,,,,
-5.049,50.0984,,,,,WPT202,WPT202,WPT202,,,,,,,,,,,,
-5.0467,50.0997,,,,,WPT203,WPT203,WPT203,,,,,,,,,,,,
-5.0448,50.1011,,,,,WPT204,WPT204,WPT204,,,,,,,,,,,,
-5.0421,50.1019,,,,,WPT205,WPT205,WPT205,,,,,,,,,,,,
